no,effectiveDate,mid,currency
001/A/NBP/2025,01/02/2025,4.1219,USD
002/A/NBP/2025,01/03/2025,4.1512,USD
003/A/NBP/2025,01/07/2025,4.077,USD
004/A/NBP/2025,01/08/2025,4.1335,USD
005/A/NBP/2025,01/09/2025,4.1523,USD
006/A/NBP/2025,01/10/2025,4.1415,USD
007/A/NBP/2025,01/13/2025,4.1904,USD
008/A/NBP/2025,01/14/2025,4.1658,USD
009/A/NBP/2025,01/15/2025,4.133,USD
010/A/NBP/2025,01/16/2025,4.1433,USD
011/A/NBP/2025,01/17/2025,4.1462,USD
012/A/NBP/2025,01/20/2025,4.1321,USD
013/A/NBP/2025,01/21/2025,4.1101,USD
014/A/NBP/2025,01/22/2025,4.0646,USD
015/A/NBP/2025,01/23/2025,4.0515,USD
016/A/NBP/2025,01/24/2025,4.0124,USD
017/A/NBP/2025,01/27/2025,4.021,USD
018/A/NBP/2025,01/28/2025,4.0337,USD
019/A/NBP/2025,01/29/2025,4.0443,USD
020/A/NBP/2025,01/30/2025,4.0393,USD
021/A/NBP/2025,01/31/2025,4.0576,USD
022/A/NBP/2025,02/03/2025,4.1352,USD
023/A/NBP/2025,02/04/2025,4.0864,USD
024/A/NBP/2025,02/05/2025,4.0426,USD
025/A/NBP/2025,02/06/2025,4.0613,USD
026/A/NBP/2025,02/07/2025,4.0321,USD
027/A/NBP/2025,02/10/2025,4.0548,USD
028/A/NBP/2025,02/11/2025,4.0497,USD
029/A/NBP/2025,02/12/2025,4.0215,USD
030/A/NBP/2025,02/13/2025,3.996,USD
031/A/NBP/2025,02/14/2025,3.972,USD
032/A/NBP/2025,02/17/2025,3.9749,USD
033/A/NBP/2025,02/18/2025,3.9729,USD
034/A/NBP/2025,02/19/2025,3.9875,USD
035/A/NBP/2025,02/20/2025,3.9974,USD
036/A/NBP/2025,02/21/2025,3.9835,USD
037/A/NBP/2025,02/24/2025,3.9734,USD
038/A/NBP/2025,02/25/2025,3.947,USD
039/A/NBP/2025,02/26/2025,3.9434,USD
040/A/NBP/2025,02/27/2025,3.9459,USD
041/A/NBP/2025,02/28/2025,3.9993,USD
042/A/NBP/2025,03/03/2025,4.0112,USD
043/A/NBP/2025,03/04/2025,3.9543,USD
044/A/NBP/2025,03/05/2025,3.8785,USD
045/A/NBP/2025,03/06/2025,3.8674,USD
046/A/NBP/2025,03/07/2025,3.8448,USD
047/A/NBP/2025,03/10/2025,3.8573,USD
048/A/NBP/2025,03/11/2025,3.8481,USD
049/A/NBP/2025,03/12/2025,3.8496,USD
050/A/NBP/2025,03/13/2025,3.8568,USD
051/A/NBP/2025,03/14/2025,3.8509,USD
052/A/NBP/2025,03/17/2025,3.8329,USD
053/A/NBP/2025,03/18/2025,3.8152,USD
054/A/NBP/2025,03/19/2025,3.8473,USD
055/A/NBP/2025,03/20/2025,3.8675,USD
056/A/NBP/2025,03/21/2025,3.8774,USD
057/A/NBP/2025,03/24/2025,3.859,USD
058/A/NBP/2025,03/25/2025,3.8578,USD
059/A/NBP/2025,03/26/2025,3.8614,USD
060/A/NBP/2025,03/27/2025,3.8913,USD
061/A/NBP/2025,03/28/2025,3.8817,USD
062/A/NBP/2025,03/31/2025,3.8643,USD
063/A/NBP/2025,04/01/2025,3.8656,USD
064/A/NBP/2025,04/02/2025,3.8707,USD
065/A/NBP/2025,04/03/2025,3.7968,USD
066/A/NBP/2025,04/04/2025,3.856,USD
067/A/NBP/2025,04/07/2025,3.9097,USD
068/A/NBP/2025,04/08/2025,3.927,USD
069/A/NBP/2025,04/09/2025,3.8828,USD
070/A/NBP/2025,04/10/2025,3.8637,USD
071/A/NBP/2025,04/11/2025,3.7606,USD
072/A/NBP/2025,04/14/2025,3.7564,USD
